Code;Class;Event;Value;Sex
ON;W;100;11,07;Female
ON;W;200;22,57;Female
ON;W;400;50,95;Female
ON;W;800;1:59,3;Female
ON;W;1K5;4:02,5;Female
ON;W;5K0;14:52,00;Female
ON;W;10K;30:40,00;Female
ON;W;10H;12,77;Female
ON;W;40H;54,85;Female
ON;W;3KH;9:23,00;Female
ON;W;HOC;1,97;Female
ON;W;STA;4,73;Female
ON;W;WEI;6,86;Female
ON;W;DRE;14,55;Female
ON;W;KUG;18,8;Female
ON;W;DIS;64,5;Female
ON;W;HAM;74;Female
ON;W;SPE;64;Female
ON;M;100;10;Male
ON;M;200;20,16;Male
ON;M;400;45;Male
ON;M;800;1:44,70;Male
ON;M;1K5;3:33,50;Male
ON;M;5K0;13:05,00;Male
ON;M;10K;27:00,00;Male
ON;M;10H;13,27;Male
ON;M;40H;48,7;Male
ON;M;3KH;8:15,00;Male
ON;M;HOC;2,33;Male
ON;M;STA;5,82;Male
ON;M;WEI;8,27;Male
ON;M;DRE;17,22;Male
ON;M;KUG;21,5;Male
ON;M;DIS;67,2;Male
ON;M;HAM;78,2;Male
ON;M;SPE;85,5;Male
