Code;Class;Event;Value;Sex
EM;W;100;11,24;Female
EM;W;200;23;Female
EM;W;400;51,5;Female
EM;W;800;2:00,00;Female
EM;W;1K5;4:05,00;Female
EM;W;5K0;15:15,00;Female
EM;W;10K;32:00,00;Female
EM;W;10H;12,98;Female
EM;W;40H;55,7;Female
EM;W;3KH;9:37,00;Female
EM;W;HOC;1,92;Female
EM;W;STA;4,5;Female
EM;W;WEI;6,7;Female
EM;W;DRE;14,15;Female
EM;W;KUG;18;Female
EM;W;DIS;60,5;Female
EM;W;HAM;71,2;Female
EM;W;SPE;60;Female
EM;M;100;10,16;Male
EM;M;200;20,45;Male
EM;M;400;45,4;Male
EM;M;800;1:45,20;Male
EM;M;1K5;3:36,00;Male
EM;M;5K0;13:20,00;Male
EM;M;10K;27:50,00;Male
EM;M;10H;13,46;Male
EM;M;40H;49,3;Male
EM;M;3KH;8:25,00;Male
EM;M;HOC;2,26;Male
EM;M;STA;5,75;Male
EM;M;WEI;8;Male
EM;M;DRE;16,8;Male
EM;M;KUG;20,85;Male
EM;M;DIS;65,2;Male
EM;M;HAM;76,5;Male
EM;M;SPE;83;Male
