Code,Class,Event,Value,Sex,Type
EM,W,100,"11,18",Female,1
EM,W,200,"22,85",Female,1
EM,W,400,"51,20",Female,1
EM,W,800,"1:59,80",Female,1
EM,W,1K5,"4:03,50",Female,1
EM,W,5K0,"15:05,00",Female,1
EM,W,10K,"32:00,00",Female,1
EM,W,10H,"12,88",Female,1
EM,W,40H,"55,3",Female,1
EM,W,3KH,"9:28,00",Female,1
EM,W,HOC,"1,94",Female,1
EM,W,STA,"4,6",Female,1
EM,W,WEI,"6,77",Female,1
EM,W,DRE,"14,20",Female,1
EM,W,KUG,"18,20",Female,1
EM,W,DIS,"61",Female,1
EM,W,HAM,"71,5",Female,1
EM,W,SPE,"60,80",Female,1
EM,M,100,"10,15",Male,1
EM,M,200,"20,45",Male,1
EM,M,400,"45,25",Male,1
EM,M,800,"1:44,80",Male,1
EM,M,1K5,"3:33,50",Male,1
EM,M,5K0,"13:08,00",Male,1
EM,M,10K,"27:50,00",Male,1
EM,M,11H,"13,40",Male,1
EM,M,40H,"49",Male,1
EM,M,3KH,"8:20,00",Male,1
EM,M,HOC,"2,27",Male,1
EM,M,STA,"5,82",Male,1
EM,M,WEI,"8,05",Male,1
EM,M,DRE,"16,8",Male,1
EM,M,KUG,"20,80",Male,1
EM,M,DIS,"65,5",Male,1
EM,M,HAM,"77,5",Male,1
EM,M,SPE,83,Male,1
